"bairro","cidade","bairro-2","cidade-2","distancia","distancia_km"
"JARDIM CAMPO GRANDE"," CARIACICA","NOVA BRASÍLIA"," CARIACICA",6607,"6,6 km"
"JARDIM CAMPO GRANDE"," CARIACICA","JUCU"," VIANA",18686,"18,7 km"
"JARDIM CAMPO GRANDE"," CARIACICA","SANTA TEREZINHA"," VIANA",6302,"6,3 km"
"JARDIM CAMPO GRANDE"," CARIACICA","VILA BETÂNIA"," VIANA",4239,"4,2 km"
"JARDIM CAMPO GRANDE"," CARIACICA","PEDRA MULATA"," VIANA",18516,"18,5 km"
"JARDIM CAMPO GRANDE"," CARIACICA","ARLINDO VILASQUE"," VIANA",5778,"5,8 km"
"JARDIM CAMPO GRANDE"," CARIACICA","VILA NOVA"," VIANA",6283,"6,3 km"
"JARDIM CAMPO GRANDE"," CARIACICA","UNIVERSAL"," VIANA",11666,"11,7 km"
"JARDIM CAMPO GRANDE"," CARIACICA","CARIOCA"," VIANA",522108,"522 km"
"JARDIM CAMPO GRANDE"," CARIACICA","PRIMAVERA"," VIANA",9418,"9,4 km"
"JARDIM CAMPO GRANDE"," CARIACICA","MARCILIO DE NORONHA"," VIANA",8451,"8,5 km"
"JARDIM CAMPO GRANDE"," CARIACICA","BOM PASTOR"," VIANA",15580,"15,6 km"
"JARDIM CAMPO GRANDE"," CARIACICA","VILA BETHANIA"," VIANA",4239,"4,2 km"
"JARDIM CAMPO GRANDE"," CARIACICA","IPANEMA"," VIANA",11576,"11,6 km"
"JARDIM CAMPO GRANDE"," CARIACICA","PRAIA DAS GAIVOTAS"," VILA VELHA",12374,"12,4 km"
"JARDIM CAMPO GRANDE"," CARIACICA","CENTRO"," VILA VELHA",14544,"14,5 km"
"JARDIM CAMPO GRANDE"," CARIACICA","SANTOS DUMONT"," VILA VELHA",11345,"11,3 km"
"JARDIM CAMPO GRANDE"," CARIACICA","JARDIM MARILÂNDIA"," VILA VELHA",7269,"7,3 km"
"JARDIM CAMPO GRANDE"," CARIACICA","RIO MARINHO"," VILA VELHA",6138,"6,1 km"
"JARDIM CAMPO GRANDE"," CARIACICA","RIVIEIRA DA BARRA"," VILA VELHA",17180,"17,2 km"
"JARDIM CAMPO GRANDE"," CARIACICA","GLÓRIA"," VILA VELHA",13178,"13,2 km"
"JARDIM CAMPO GRANDE"," CARIACICA","VALE ENCANTADO"," VILA VELHA",11668,"11,7 km"
"JARDIM CAMPO GRANDE"," CARIACICA","PRAIA DA COSTA"," VILA VELHA",15468,"15,5 km"
"JARDIM CAMPO GRANDE"," CARIACICA","JARDIM ASTECA"," VILA VELHA",11146,"11,1 km"
"JARDIM CAMPO GRANDE"," CARIACICA","TERRA VERMELHA"," VILA VELHA",20956,"21,0 km"
"JARDIM CAMPO GRANDE"," CARIACICA","PRAIA DE ITAPARICA"," VILA VELHA",14168,"14,2 km"
"JARDIM CAMPO GRANDE"," CARIACICA","ALECRIM"," VILA VELHA",8971,"9,0 km"
"JARDIM CAMPO GRANDE"," CARIACICA","DIVINO ESPIRITO SANTO"," VILA VELHA",13681,"13,7 km"
"JARDIM CAMPO GRANDE"," CARIACICA","RECANTO DA SEREIA"," GUARAPARI",30750,"30,8 km"
"JARDIM CAMPO GRANDE"," CARIACICA","BOA VISTA"," VILA VELHA",14622,"14,6 km"
"JARDIM CAMPO GRANDE"," CARIACICA","SANTA MONICA"," VILA VELHA",13085,"13,1 km"
"JARDIM CAMPO GRANDE"," CARIACICA","ILHA DOS BENTOS"," VILA VELHA",12186,"12,2 km"
"JARDIM CAMPO GRANDE"," CARIACICA","NOVA ALMEIDA"," SERRA",57142,"57,1 km"
"JARDIM CAMPO GRANDE"," CARIACICA","BOULEVARD LAGOA"," SERRA",42950,"43,0 km"
"JARDIM CAMPO GRANDE"," CARIACICA","PARQUE JACARAIPE"," SERRA",45750,"45,8 km"
"JARDIM CAMPO GRANDE"," CARIACICA","CENTRAL DE CARAPINA"," SERRA",33490,"33,5 km"
"JARDIM CAMPO GRANDE"," CARIACICA","JARDIM ATLANTICO"," SERRA",47338,"47,3 km"
"JARDIM CAMPO GRANDE"," CARIACICA","LARANJEIRAS VELHAS"," SERRA",36116,"36,1 km"
"JARDIM CAMPO GRANDE"," CARIACICA","CIDADE POMAR"," SERRA",41489,"41,5 km"
"JARDIM CAMPO GRANDE"," CARIACICA","PRAIA CARAPEUS"," SERRA",40479,"40,5 km"
"JARDIM CAMPO GRANDE"," CARIACICA","COLINA LARANJEIRA"," SERRA",36878,"36,9 km"
"JARDIM CAMPO GRANDE"," CARIACICA","RESIDENCIAL JACARAI"," SERRA",48321,"48,3 km"
"JARDIM CAMPO GRANDE"," CARIACICA","JARDIM CARAPINA"," SERRA",29947,"29,9 km"
"JARDIM CAMPO GRANDE"," CARIACICA","CARAPINA GRANDE"," SERRA",30713,"30,7 km"
"JARDIM CAMPO GRANDE"," CARIACICA","NOVO HORIZONTE"," SERRA",34755,"34,8 km"
"JARDIM CAMPO GRANDE"," CARIACICA","PLANALTO SERRANO"," SERRA",43507,"43,5 km"
"JARDIM CAMPO GRANDE"," CARIACICA","VALPARAISO"," SERRA",35624,"35,6 km"
"JARDIM CAMPO GRANDE"," CARIACICA","CIVIT II"," SERRA",39546,"39,5 km"
"JARDIM CAMPO GRANDE"," CARIACICA","ITAPEBUSSU"," GUARAPARI",50111,"50,1 km"
"JARDIM CAMPO GRANDE"," CARIACICA","SÃO JUDAS TADEU"," GUARAPARI",51454,"51,5 km"
"JARDIM CAMPO GRANDE"," CARIACICA","MEAIPE"," GUARAPARI",63498,"63,5 km"
"JARDIM CAMPO GRANDE"," CARIACICA","BELA VISTA"," COLATINA",153507,"154 km"
"JARDIM CAMPO GRANDE"," CARIACICA","CENTRO"," COLATINA",154036,"154 km"
"JARDIM CAMPO GRANDE"," CARIACICA","NOSSA SENHORA DA APARECIDA"," COLATINA",154244,"154 km"
"JARDIM CAMPO GRANDE"," CARIACICA","CENTRO"," MARECHAL FLORIANO",46235,"46,2 km"
"JARDIM CAMPO GRANDE"," CARIACICA","TREVO SANTA MARIA"," MARECHAL FLORIANO",56514,"56,5 km"
"JARDIM CAMPO GRANDE"," CARIACICA","PEDRA AZUL"," DOMINGOS MARTINS",88363,"88,4 km"
"JARDIM CAMPO GRANDE"," CARIACICA","ESPLANADA"," VENDA NOVA",102507,"103 km"
"SÃO GERALDO"," CARIACICA","BR-262, 5200 - Rio Branco"," CARIACICA",4589,"4,6 km"
"SÃO GERALDO"," CARIACICA","JARDIM CAMBURI"," VITORIA",20373,"20,4 km"
"SÃO GERALDO"," CARIACICA","JARDIM DA PENHA"," VITORIA",16621,"16,6 km"
"SÃO GERALDO"," CARIACICA","ENSEADA DO SUÁ"," VITORIA",11860,"11,9 km"
"SÃO GERALDO"," CARIACICA","FORTE SÃO JOÃO"," VITORIA",8727,"8,7 km"
"SÃO GERALDO"," CARIACICA","SÃO CRISTOVÃO"," VITORIA",12957,"13,0 km"
"SÃO GERALDO"," CARIACICA","SANTA MARTHA"," VITORIA",13651,"13,7 km"
"SÃO GERALDO"," CARIACICA","JARDIM CAMBURI"," VITORIA",20373,"20,4 km"
"SÃO GERALDO"," CARIACICA","PRAIA DO CANTO"," VITORIA",14596,"14,6 km"
"SÃO GERALDO"," CARIACICA","CENTRO"," VITORIA",13706,"13,7 km"
"SÃO GERALDO"," CARIACICA","ITARARE"," VITORIA",13998,"14,0 km"
"SÃO GERALDO"," CARIACICA","JABOUR"," VITORIA",18428,"18,4 km"
"SÃO GERALDO"," CARIACICA","GRANDE VITÓRIA"," VITORIA",11601,"11,6 km"
"SÃO GERALDO"," CARIACICA","ALTO LAGE"," CARIACICA",2582,"2,6 km"
"SÃO GERALDO"," CARIACICA","OPERARIOS"," CARIACICA",9488,"9,5 km"
"SÃO GERALDO"," CARIACICA","SANTA CECILIA"," CARIACICA",4441,"4,4 km"
"SÃO GERALDO"," CARIACICA","VILA CAPIXABA"," CARIACICA",4611,"4,6 km"
"SÃO GERALDO"," CARIACICA","VERA CRUZ"," CARIACICA",1556,"1,6 km"
"SÃO GERALDO"," CARIACICA","CAMPO VERDE"," CARIACICA",8985,"9,0 km"
"SÃO GERALDO"," CARIACICA","ITACIBA"," CARIACICA",4920,"4,9 km"
"SÃO GERALDO"," CARIACICA","TUCUM"," CARIACICA",5773,"5,8 km"
"SÃO GERALDO"," CARIACICA","ITANGUA"," CARIACICA",3990,"4,0 km"
"SÃO GERALDO"," CARIACICA","PORTO DE SANTANA"," CARIACICA",5534,"5,5 km"
"SÃO GERALDO"," CARIACICA","NOVA ROSA PENHA"," CARIACICA",15569,"15,6 km"
"SÃO GERALDO"," CARIACICA","ITAPEMIRIM"," CARIACICA",2873,"2,9 km"
"SÃO GERALDO"," CARIACICA","JARDIM CAMPO GRANDE"," CARIACICA",4062,"4,1 km"
"SÃO GERALDO"," CARIACICA","CAMPO GRANDE"," CARIACICA",1349,"1,3 km"
"SÃO GERALDO"," CARIACICA","CRUZEIRO DO SUL"," CARIACICA",2044,"2,0 km"
"SÃO GERALDO"," CARIACICA","JARDIM AMÉRICA"," CARIACICA",3749,"3,7 km"
"SÃO GERALDO"," CARIACICA","CARIACICA SEDE"," CARIACICA",15658,"15,7 km"
"SÃO GERALDO"," CARIACICA","BOA SORTE"," CARIACICA",2336,"2,3 km"
"SÃO GERALDO"," CARIACICA","SÃO FRANCISCO"," CARIACICA",3700,"3,7 km"
"SÃO GERALDO"," CARIACICA","VALE DOS REIS"," CARIACICA",10740,"10,7 km"
"SÃO GERALDO"," CARIACICA","SANTO ANDRÉ"," CARIACICA",3319,"3,3 km"
"SÃO GERALDO"," CARIACICA","FLEXAL II"," CARIACICA",12051,"12,1 km"
"SÃO GERALDO"," CARIACICA","SÃO FRANCISCO"," CARIACICA",3700,"3,7 km"
"SÃO GERALDO"," CARIACICA","SANTA BARBARA"," CARIACICA",2627,"2,6 km"
"SÃO GERALDO"," CARIACICA","N R DA PENHA"," CARIACICA",934,"0,9 km"
"SÃO GERALDO"," CARIACICA","SANTO ANDRÉ"," CARIACICA",3319,"3,3 km"
"SÃO GERALDO"," CARIACICA","PORTO DE CARIACICA"," CARIACICA",14230,"14,2 km"
"SÃO GERALDO"," CARIACICA","SÃO GERALDO"," CARIACICA",0,"1 m"
"SÃO GERALDO"," CARIACICA","CASTELO BRANCO"," CARIACICA",4840,"4,8 km"
"SÃO GERALDO"," CARIACICA","PLANETA 2"," CARIACICA",12499,"12,5 km"
"SÃO GERALDO"," CARIACICA","VILA GRAUNA"," CARIACICA",6723,"6,7 km"
"SÃO GERALDO"," CARIACICA","ROSA DA PENHA"," CARIACICA",1185,"1,2 km"
"SÃO GERALDO"," CARIACICA","TIRADENTE"," CARIACICA",2981,"3,0 km"
"SÃO GERALDO"," CARIACICA","BOM BOSCO"," CARIACICA",3289,"3,3 km"
"SÃO GERALDO"," CARIACICA","VALE DA ESPERANÇA"," CARIACICA",2148,"2,1 km"
"SÃO GERALDO"," CARIACICA","ITAQUARI. BELA AURORA"," CARIACICA",2685,"2,7 km"
"SÃO GERALDO"," CARIACICA","CRUZEIRO DO SUL"," CARIACICA",2044,"2,0 km"
"SÃO GERALDO"," CARIACICA","NOVA ROSA DA PENHA"," CARIACICA",15569,"15,6 km"
"SÃO GERALDO"," CARIACICA","FLEXAL I"," CARIACICA",8811,"8,8 km"
"SÃO GERALDO"," CARIACICA","NOVA BRASÍLIA"," CARIACICA",4546,"4,5 km"
"SÃO GERALDO"," CARIACICA","JUCU"," VIANA",18759,"18,8 km"
"SÃO GERALDO"," CARIACICA","SANTA TEREZINHA"," VIANA",7033,"7,0 km"
"SÃO GERALDO"," CARIACICA","VILA BETÂNIA"," VIANA",4970,"5,0 km"
"SÃO GERALDO"," CARIACICA","PEDRA MULATA"," VIANA",17264,"17,3 km"
"SÃO GERALDO"," CARIACICA","ARLINDO VILASQUE"," VIANA",6509,"6,5 km"
"SÃO GERALDO"," CARIACICA","VILA NOVA"," VIANA",7014,"7,0 km"
"SÃO GERALDO"," CARIACICA","UNIVERSAL"," VIANA",11739,"11,7 km"
"SÃO GERALDO"," CARIACICA","CARIOCA"," VIANA",522182,"522 km"
"SÃO GERALDO"," CARIACICA","PRIMAVERA"," VIANA",9491,"9,5 km"
"SÃO GERALDO"," CARIACICA","MARCILIO DE NORONHA"," VIANA",8524,"8,5 km"
"SÃO GERALDO"," CARIACICA","BOM PASTOR"," VIANA",15654,"15,7 km"
"SÃO GERALDO"," CARIACICA","VILA BETHANIA"," VIANA",4970,"5,0 km"
"SÃO GERALDO"," CARIACICA","IPANEMA"," VIANA",11650,"11,6 km"
"SÃO GERALDO"," CARIACICA","PRAIA DAS GAIVOTAS"," VILA VELHA",10203,"10,2 km"
"SÃO GERALDO"," CARIACICA","CENTRO"," VILA VELHA",12373,"12,4 km"
"SÃO GERALDO"," CARIACICA","SANTOS DUMONT"," VILA VELHA",9175,"9,2 km"
"SÃO GERALDO"," CARIACICA","JARDIM MARILÂNDIA"," VILA VELHA",6017,"6,0 km"
"SÃO GERALDO"," CARIACICA","RIO MARINHO"," VILA VELHA",4885,"4,9 km"
"SÃO GERALDO"," CARIACICA","RIVIEIRA DA BARRA"," VILA VELHA",15928,"15,9 km"
"SÃO GERALDO"," CARIACICA","GLÓRIA"," VILA VELHA",10736,"10,7 km"
"SÃO GERALDO"," CARIACICA","VALE ENCANTADO"," VILA VELHA",10415,"10,4 km"
"SÃO GERALDO"," CARIACICA","PRAIA DA COSTA"," VILA VELHA",17653,"17,7 km"
"SÃO GERALDO"," CARIACICA","JARDIM ASTECA"," VILA VELHA",8975,"9,0 km"
"SÃO GERALDO"," CARIACICA","TERRA VERMELHA"," VILA VELHA",19704,"19,7 km"
"SÃO GERALDO"," CARIACICA","PRAIA DE ITAPARICA"," VILA VELHA",11998,"12,0 km"
"SÃO GERALDO"," CARIACICA","ALECRIM"," VILA VELHA",7154,"7,2 km"
"SÃO GERALDO"," CARIACICA","DIVINO ESPIRITO SANTO"," VILA VELHA",11511,"11,5 km"
"SÃO GERALDO"," CARIACICA","BOA VISTA"," VILA VELHA",12452,"12,5 km"
"SÃO GERALDO"," CARIACICA","SANTA MONICA"," VILA VELHA",10915,"10,9 km"
"SÃO GERALDO"," CARIACICA","ILHA DOS BENTOS"," VILA VELHA",10016,"10,0 km"
"SÃO GERALDO"," CARIACICA","NOVA ALMEIDA"," SERRA",57215,"57,2 km"
"SÃO GERALDO"," CARIACICA","BOULEVARD LAGOA"," SERRA",43023,"43,0 km"
"SÃO GERALDO"," CARIACICA","PARQUE JACARAIPE"," SERRA",45823,"45,8 km"
"SÃO GERALDO"," CARIACICA","CENTRAL DE CARAPINA"," SERRA",33563,"33,6 km"
"SÃO GERALDO"," CARIACICA","JARDIM ATLANTICO"," SERRA",47411,"47,4 km"
"SÃO GERALDO"," CARIACICA","LARANJEIRAS VELHAS"," SERRA",36189,"36,2 km"
"SÃO GERALDO"," CARIACICA","CIDADE POMAR"," SERRA",41562,"41,6 km"
"SÃO GERALDO"," CARIACICA","PRAIA CARAPEUS"," SERRA",40552,"40,6 km"
"SÃO GERALDO"," CARIACICA","COLINA LARANJEIRA"," SERRA",36951,"37,0 km"
"SÃO GERALDO"," CARIACICA","RESIDENCIAL JACARAI"," SERRA",48394,"48,4 km"
"SÃO GERALDO"," CARIACICA","JARDIM CARAPINA"," SERRA",30020,"30,0 km"
"SÃO GERALDO"," CARIACICA","CARAPINA GRANDE"," SERRA",30786,"30,8 km"
"SÃO GERALDO"," CARIACICA","NOVO HORIZONTE"," SERRA",34828,"34,8 km"
"SÃO GERALDO"," CARIACICA","PLANALTO SERRANO"," SERRA",43580,"43,6 km"
"SÃO GERALDO"," CARIACICA","VALPARAISO"," SERRA",35697,"35,7 km"
"SÃO GERALDO"," CARIACICA","CIVIT II"," SERRA",39619,"39,6 km"
"SÃO GERALDO"," CARIACICA","ITAPEBUSSU"," GUARAPARI",50184,"50,2 km"
"SÃO GERALDO"," CARIACICA","RECANTO DA SEREIA"," GUARAPARI",29498,"29,5 km"
"SÃO GERALDO"," CARIACICA","SÃO JUDAS TADEU"," GUARAPARI",51527,"51,5 km"
"SÃO GERALDO"," CARIACICA","MEAIPE"," GUARAPARI",63571,"63,6 km"
"SÃO GERALDO"," CARIACICA","BELA VISTA"," COLATINA",153580,"154 km"
"SÃO GERALDO"," CARIACICA","CENTRO"," COLATINA",154109,"154 km"
"SÃO GERALDO"," CARIACICA","NOSSA SENHORA DA APARECIDA"," COLATINA",154317,"154 km"
"VILA BETHANIA"," VIANA","VILA BETÂNIA"," VIANA",0,"1 m"
"SÃO GERALDO"," CARIACICA","CENTRO"," MARECHAL FLORIANO",46308,"46,3 km"
"SÃO GERALDO"," CARIACICA","TREVO SANTA MARIA"," MARECHAL FLORIANO",56588,"56,6 km"
"SÃO GERALDO"," CARIACICA","PEDRA AZUL"," DOMINGOS MARTINS",88436,"88,4 km"
"SÃO GERALDO"," CARIACICA","ESPLANADA"," VENDA NOVA",102580,"103 km"
"CAMPO GRANDE"," CARIACICA","BR-262, 5200 - Rio Branco"," CARIACICA",1991,"2,0 km"
"CAMPO GRANDE"," CARIACICA","JARDIM CAMBURI"," VITORIA",20193,"20,2 km"
"CAMPO GRANDE"," CARIACICA","JARDIM DA PENHA"," VITORIA",16440,"16,4 km"
"CAMPO GRANDE"," CARIACICA","ENSEADA DO SUÁ"," VITORIA",11679,"11,7 km"
"CAMPO GRANDE"," CARIACICA","FORTE SÃO JOÃO"," VITORIA",8547,"8,5 km"
"CAMPO GRANDE"," CARIACICA","SÃO CRISTOVÃO"," VITORIA",12777,"12,8 km"
"CAMPO GRANDE"," CARIACICA","SANTA MARTHA"," VITORIA",13471,"13,5 km"
"CAMPO GRANDE"," CARIACICA","JARDIM CAMBURI"," VITORIA",20193,"20,2 km"
"CAMPO GRANDE"," CARIACICA","PRAIA DO CANTO"," VITORIA",14416,"14,4 km"
"CAMPO GRANDE"," CARIACICA","CENTRO"," VITORIA",13526,"13,5 km"
"CAMPO GRANDE"," CARIACICA","ITARARE"," VITORIA",13818,"13,8 km"
"CAMPO GRANDE"," CARIACICA","JABOUR"," VITORIA",31281,"31,3 km"
"CAMPO GRANDE"," CARIACICA","GRANDE VITÓRIA"," VITORIA",11421,"11,4 km"
"CAMPO GRANDE"," CARIACICA","ALTO LAGE"," CARIACICA",2402,"2,4 km"
"CAMPO GRANDE"," CARIACICA","OPERARIOS"," CARIACICA",6890,"6,9 km"
"CAMPO GRANDE"," CARIACICA","SANTA CECILIA"," CARIACICA",2165,"2,2 km"
"CAMPO GRANDE"," CARIACICA","VILA CAPIXABA"," CARIACICA",2023,"2,0 km"
"CAMPO GRANDE"," CARIACICA","VERA CRUZ"," CARIACICA",1696,"1,7 km"
"CAMPO GRANDE"," CARIACICA","CAMPO VERDE"," CARIACICA",9593,"9,6 km"
"CAMPO GRANDE"," CARIACICA","ITACIBA"," CARIACICA",4740,"4,7 km"
"CAMPO GRANDE"," CARIACICA","TUCUM"," CARIACICA",5593,"5,6 km"
"CAMPO GRANDE"," CARIACICA","ITANGUA"," CARIACICA",2491,"2,5 km"
"CAMPO GRANDE"," CARIACICA","PORTO DE SANTANA"," CARIACICA",5354,"5,4 km"
"CAMPO GRANDE"," CARIACICA","NOVA ROSA PENHA"," CARIACICA",12972,"13,0 km"
"CAMPO GRANDE"," CARIACICA","ITAPEMIRIM"," CARIACICA",2215,"2,2 km"
"CAMPO GRANDE"," CARIACICA","JARDIM CAMPO GRANDE"," CARIACICA",3798,"3,8 km"
"CAMPO GRANDE"," CARIACICA","SÃO GERALDO"," CARIACICA",1159,"1,2 km"
"CAMPO GRANDE"," CARIACICA","CRUZEIRO DO SUL"," CARIACICA",1260,"1,3 km"
"CAMPO GRANDE"," CARIACICA","JARDIM AMÉRICA"," CARIACICA",3568,"3,6 km"
"CAMPO GRANDE"," CARIACICA","CARIACICA SEDE"," CARIACICA",13060,"13,1 km"
"CAMPO GRANDE"," CARIACICA","BOA SORTE"," CARIACICA",3069,"3,1 km"
"CAMPO GRANDE"," CARIACICA","SÃO FRANCISCO"," CARIACICA",3974,"4,0 km"
"CAMPO GRANDE"," CARIACICA","VALE DOS REIS"," CARIACICA",8142,"8,1 km"
"CAMPO GRANDE"," CARIACICA","SANTO ANDRÉ"," CARIACICA",2535,"2,5 km"
"CAMPO GRANDE"," CARIACICA","FLEXAL II"," CARIACICA",9453,"9,5 km"
"CAMPO GRANDE"," CARIACICA","SÃO FRANCISCO"," CARIACICA",3974,"4,0 km"
"CAMPO GRANDE"," CARIACICA","SANTA BARBARA"," CARIACICA",2081,"2,1 km"
"CAMPO GRANDE"," CARIACICA","N R DA PENHA"," CARIACICA",1048,"1,0 km"
"CAMPO GRANDE"," CARIACICA","SANTO ANDRÉ"," CARIACICA",2535,"2,5 km"
"CAMPO GRANDE"," CARIACICA","PORTO DE CARIACICA"," CARIACICA",11633,"11,6 km"
"CAMPO GRANDE"," CARIACICA","SÃO GERALDO"," CARIACICA",1159,"1,2 km"
"CAMPO GRANDE"," CARIACICA","CASTELO BRANCO"," CARIACICA",5574,"5,6 km"
"CAMPO GRANDE"," CARIACICA","PLANETA 2"," CARIACICA",9901,"9,9 km"
"CAMPO GRANDE"," CARIACICA","VILA GRAUNA"," CARIACICA",8227,"8,2 km"
"CAMPO GRANDE"," CARIACICA","ROSA DA PENHA"," CARIACICA",1299,"1,3 km"
"CAMPO GRANDE"," CARIACICA","TIRADENTE"," CARIACICA",2435,"2,4 km"
"CAMPO GRANDE"," CARIACICA","BOM BOSCO"," CARIACICA",1624,"1,6 km"
"CAMPO GRANDE"," CARIACICA","VALE DA ESPERANÇA"," CARIACICA",3840,"3,8 km"
"CAMPO GRANDE"," CARIACICA","ITAQUARI. BELA AURORA"," CARIACICA",3419,"3,4 km"
"CAMPO GRANDE"," CARIACICA","CRUZEIRO DO SUL"," CARIACICA",1260,"1,3 km"
"CAMPO GRANDE"," CARIACICA","NOVA ROSA DA PENHA"," CARIACICA",12972,"13,0 km"
"CAMPO GRANDE"," CARIACICA","FLEXAL I"," CARIACICA",9632,"9,6 km"
"CAMPO GRANDE"," CARIACICA","NOVA BRASÍLIA"," CARIACICA",3047,"3,0 km"
"CAMPO GRANDE"," CARIACICA","JUCU"," VIANA",16161,"16,2 km"
"CAMPO GRANDE"," CARIACICA","SANTA TEREZINHA"," VIANA",6249,"6,2 km"
"CAMPO GRANDE"," CARIACICA","VILA BETÂNIA"," VIANA",4186,"4,2 km"
"CAMPO GRANDE"," CARIACICA","PEDRA MULATA"," VIANA",19758,"19,8 km"
"CAMPO GRANDE"," CARIACICA","ARLINDO VILASQUE"," VIANA",5725,"5,7 km"
"CAMPO GRANDE"," CARIACICA","VILA NOVA"," VIANA",6230,"6,2 km"
"CAMPO GRANDE"," CARIACICA","UNIVERSAL"," VIANA",9142,"9,1 km"
"CAMPO GRANDE"," CARIACICA","CARIOCA"," VIANA",519584,"520 km"
"CAMPO GRANDE"," CARIACICA","PRIMAVERA"," VIANA",6893,"6,9 km"
"CAMPO GRANDE"," CARIACICA","MARCILIO DE NORONHA"," VIANA",5927,"5,9 km"
"CAMPO GRANDE"," CARIACICA","BOM PASTOR"," VIANA",13056,"13,1 km"
"CAMPO GRANDE"," CARIACICA","VILA BETHANIA"," VIANA",4186,"4,2 km"
"CAMPO GRANDE"," CARIACICA","IPANEMA"," VIANA",9052,"9,1 km"
"CAMPO GRANDE"," CARIACICA","PRAIA DAS GAIVOTAS"," VILA VELHA",11663,"11,7 km"
"CAMPO GRANDE"," CARIACICA","CENTRO"," VILA VELHA",13833,"13,8 km"
"CAMPO GRANDE"," CARIACICA","SANTOS DUMONT"," VILA VELHA",10635,"10,6 km"
"CAMPO GRANDE"," CARIACICA","JARDIM MARILÂNDIA"," VILA VELHA",7220,"7,2 km"
"CAMPO GRANDE"," CARIACICA","RIO MARINHO"," VILA VELHA",5619,"5,6 km"
"CAMPO GRANDE"," CARIACICA","RIVIEIRA DA BARRA"," VILA VELHA",18422,"18,4 km"
"CAMPO GRANDE"," CARIACICA","GLÓRIA"," VILA VELHA",10556,"10,6 km"
"CAMPO GRANDE"," CARIACICA","VALE ENCANTADO"," VILA VELHA",11149,"11,1 km"
"CAMPO GRANDE"," CARIACICA","PRAIA DA COSTA"," VILA VELHA",17473,"17,5 km"
"CAMPO GRANDE"," CARIACICA","JARDIM ASTECA"," VILA VELHA",10435,"10,4 km"
"CAMPO GRANDE"," CARIACICA","TERRA VERMELHA"," VILA VELHA",22198,"22,2 km"
"CAMPO GRANDE"," CARIACICA","PRAIA DE ITAPARICA"," VILA VELHA",13458,"13,5 km"
"CAMPO GRANDE"," CARIACICA","ALECRIM"," VILA VELHA",6973,"7,0 km"
"CAMPO GRANDE"," CARIACICA","DIVINO ESPIRITO SANTO"," VILA VELHA",12970,"13,0 km"
"CAMPO GRANDE"," CARIACICA","BOA VISTA"," VILA VELHA",13912,"13,9 km"
"CAMPO GRANDE"," CARIACICA","SANTA MONICA"," VILA VELHA",12375,"12,4 km"
"CAMPO GRANDE"," CARIACICA","ILHA DOS BENTOS"," VILA VELHA",11475,"11,5 km"
"CAMPO GRANDE"," CARIACICA","NOVA ALMEIDA"," SERRA",54617,"54,6 km"
"CAMPO GRANDE"," CARIACICA","BOULEVARD LAGOA"," SERRA",40426,"40,4 km"
"CAMPO GRANDE"," CARIACICA","PARQUE JACARAIPE"," SERRA",43226,"43,2 km"
"CAMPO GRANDE"," CARIACICA","CENTRAL DE CARAPINA"," SERRA",30966,"31,0 km"
"CAMPO GRANDE"," CARIACICA","JARDIM ATLANTICO"," SERRA",44814,"44,8 km"
"CAMPO GRANDE"," CARIACICA","LARANJEIRAS VELHAS"," SERRA",33591,"33,6 km"
"CAMPO GRANDE"," CARIACICA","CIDADE POMAR"," SERRA",38965,"39,0 km"
"CAMPO GRANDE"," CARIACICA","PRAIA CARAPEUS"," SERRA",37955,"38,0 km"
"CAMPO GRANDE"," CARIACICA","COLINA LARANJEIRA"," SERRA",34353,"34,4 km"
"CAMPO GRANDE"," CARIACICA","RESIDENCIAL JACARAI"," SERRA",45796,"45,8 km"
"CAMPO GRANDE"," CARIACICA","JARDIM CARAPINA"," SERRA",27422,"27,4 km"
"CAMPO GRANDE"," CARIACICA","CARAPINA GRANDE"," SERRA",28188,"28,2 km"
"CAMPO GRANDE"," CARIACICA","NOVO HORIZONTE"," SERRA",32230,"32,2 km"
"CAMPO GRANDE"," CARIACICA","PLANALTO SERRANO"," SERRA",40983,"41,0 km"
"CAMPO GRANDE"," CARIACICA","VALPARAISO"," SERRA",33100,"33,1 km"
"CAMPO GRANDE"," CARIACICA","CIVIT II"," SERRA",37021,"37,0 km"
"CAMPO GRANDE"," CARIACICA","ITAPEBUSSU"," GUARAPARI",47586,"47,6 km"
"CAMPO GRANDE"," CARIACICA","RECANTO DA SEREIA"," GUARAPARI",31992,"32,0 km"
"CAMPO GRANDE"," CARIACICA","SÃO JUDAS TADEU"," GUARAPARI",48930,"48,9 km"
"CAMPO GRANDE"," CARIACICA","MEAIPE"," GUARAPARI",60974,"61,0 km"
"CAMPO GRANDE"," CARIACICA","BELA VISTA"," COLATINA",150983,"151 km"
"CAMPO GRANDE"," CARIACICA","CENTRO"," COLATINA",151512,"152 km"
"CAMPO GRANDE"," CARIACICA","NOSSA SENHORA DA APARECIDA"," COLATINA",151720,"152 km"
"CAMPO GRANDE"," CARIACICA","CENTRO"," MARECHAL FLORIANO",43711,"43,7 km"
"CAMPO GRANDE"," CARIACICA","TREVO SANTA MARIA"," MARECHAL FLORIANO",53990,"54,0 km"
"CAMPO GRANDE"," CARIACICA","PEDRA AZUL"," DOMINGOS MARTINS",85839,"85,8 km"
